Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/delete/68323abfc3197b36243f64ee,1,0,156.98958300345112,156.98958300345112,156.98958300345112,156.98958300345112,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abfc3197b36243f64f4,1,0,162.4722499982454,162.4722499982454,162.4722499982454,162.4722499982454,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323abfc3197b36243f6514,1,0,162.91154200735036,162.91154200735036,162.91154200735036,162.91154200735036,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f651b,2,0,160.0,158.58556199236773,155.81670799292624,161.35441599180922,78.5,0.016787300735894878,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f652c,1,0,153.61566700448748,153.61566700448748,153.61566700448748,153.61566700448748,153.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/delete/68323ac0c3197b36243f6532,1,0,243.03091700130608,243.03091700130608,243.03091700130608,243.03091700130608,152.0,0.008393650367947439,0.0,240,240,240,240,240,240,240,240,240,240,240
DELETE,/delete/68323ac0c3197b36243f6535,1,0,163.58550000586547,163.58550000586547,163.58550000586547,163.58550000586547,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f653b,1,0,158.6051670019515,158.6051670019515,158.6051670019515,158.6051670019515,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f653f,1,0,157.1324169926811,157.1324169926811,157.1324169926811,157.1324169926811,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f6544,1,0,159.16058300354052,159.16058300354052,159.16058300354052,159.16058300354052,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f654b,1,0,157.77999999409076,157.77999999409076,157.77999999409076,157.77999999409076,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f6554,1,0,154.32312501070555,154.32312501070555,154.32312501070555,154.32312501070555,153.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/delete/68323ac0c3197b36243f6561,1,0,161.15062500466593,161.15062500466593,161.15062500466593,161.15062500466593,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac0c3197b36243f6563,1,0,156.08129199245013,156.08129199245013,156.08129199245013,156.08129199245013,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac1c3197b36243f6570,1,0,162.10079198936,162.10079198936,162.10079198936,162.10079198936,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac1c3197b36243f6576,1,0,155.18975000304636,155.18975000304636,155.18975000304636,155.18975000304636,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac1c3197b36243f6578,1,0,169.5359580044169,169.5359580044169,169.5359580044169,169.5359580044169,153.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323ac1c3197b36243f658d,1,0,255.01224999607075,255.01224999607075,255.01224999607075,255.01224999607075,152.0,0.008393650367947439,0.0,260,260,260,260,260,260,260,260,260,260,260
DELETE,/delete/68323ac1c3197b36243f6590,1,0,156.53491599368863,156.53491599368863,156.53491599368863,156.53491599368863,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac1c3197b36243f6595,1,0,162.50250001030508,162.50250001030508,162.50250001030508,162.50250001030508,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac1c3197b36243f659a,1,0,174.18891699344385,174.18891699344385,174.18891699344385,174.18891699344385,152.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323ac1c3197b36243f65a4,1,0,162.74475000682287,162.74475000682287,162.74475000682287,162.74475000682287,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac2c3197b36243f65b0,1,0,156.0224169952562,156.0224169952562,156.0224169952562,156.0224169952562,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac2c3197b36243f65ca,1,0,158.52016600547358,158.52016600547358,158.52016600547358,158.52016600547358,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac2c3197b36243f65d0,1,0,155.56212500086986,155.56212500086986,155.56212500086986,155.56212500086986,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac2c3197b36243f65e6,1,0,166.0760419908911,166.0760419908911,166.0760419908911,166.0760419908911,152.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323ac2c3197b36243f65f6,1,0,151.98279201285914,151.98279201285914,151.98279201285914,151.98279201285914,153.0,0.008393650367947439,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/delete/68323ac3c3197b36243f660d,1,0,156.9655000057537,156.9655000057537,156.9655000057537,156.9655000057537,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac3c3197b36243f6613,1,0,163.00833299465012,163.00833299465012,163.00833299465012,163.00833299465012,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac3c3197b36243f661d,1,0,160.2688339917222,160.2688339917222,160.2688339917222,160.2688339917222,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac3c3197b36243f663b,1,0,224.40766700310633,224.40766700310633,224.40766700310633,224.40766700310633,152.0,0.008393650367947439,0.0,220,220,220,220,220,220,220,220,220,220,220
DELETE,/delete/68323ac3c3197b36243f6641,1,0,156.52504199533723,156.52504199533723,156.52504199533723,156.52504199533723,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac4c3197b36243f6643,1,0,156.25075000571087,156.25075000571087,156.25075000571087,156.25075000571087,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323ac4c3197b36243f6646,1,0,157.7815000055125,157.7815000055125,157.7815000055125,157.7815000055125,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
